Order_ID,Order_Date,Sales,Profit,Quantity,Discount,Category,Sub_Category,Region,State,Segment,Customer_ID,Customer_Name,Ship_Days,Year,Month,Quarter
CA-2016-152156,2016-11-08,261.96,41.9136,2,0.0,Furniture,Bookcases,South,Kentucky,Consumer,CG-12520,Claire Gute,3,2016,11,4
CA-2016-152156,2016-11-08,731.94,219.582,3,0.0,Furniture,Chairs,South,Kentucky,Consumer,CG-12520,Claire Gute,3,2016,11,4
CA-2016-138688,2016-06-12,14.62,6.8714,2,0.0,Office Supplies,Labels,West,California,Corporate,DV-13045,Darrin Van Huff,4,2016,6,2
US-2015-108966,2015-10-11,957.5775,-383.031,5,0.45,Furniture,Tables,South,Florida,Consumer,SO-20335,Sean O'Donnell,7,2015,10,4
US-2015-108966,2015-10-11,22.368,2.5164,2,0.2,Office Supplies,Storage,South,Florida,Consumer,SO-20335,Sean O'Donnell,7,2015,10,4
CA-2014-115812,2014-06-09,48.86,14.1694,7,0.0,Furniture,Furnishings,West,California,Consumer,BH-11710,Brosina Hoffman,5,2014,6,2
CA-2014-115812,2014-06-09,7.28,1.9656,4,0.0,Office Supplies,Art,West,California,Consumer,BH-11710,Brosina Hoffman,5,2014,6,2
CA-2014-115812,2014-06-09,907.152,90.7152,6,0.2,Technology,Phones,West,California,Consumer,BH-11710,Brosina Hoffman,5,2014,6,2
CA-2014-115812,2014-06-09,18.504,5.7825,3,0.2,Office Supplies,Binders,West,California,Consumer,BH-11710,Brosina Hoffman,5,2014,6,2
CA-2014-115812,2014-06-09,114.9,34.47,5,0.0,Office Supplies,Appliances,West,California,Consumer,BH-11710,Brosina Hoffman,5,2014,6,2
CA-2014-115812,2014-06-09,1706.184,85.3092,9,0.2,Furniture,Tables,West,California,Consumer,BH-11710,Brosina Hoffman,5,2014,6,2
CA-2014-115812,2014-06-09,911.424,68.3568,4,0.2,Technology,Phones,West,California,Consumer,BH-11710,Brosina Hoffman,5,2014,6,2
CA-2017-114412,2017-04-15,15.552,5.4432,3,0.2,Office Supplies,Paper,South,North Carolina,Consumer,AA-10480,Andrew Allen,5,2017,4,2
CA-2016-161389,2016-12-05,407.976,132.5922,3,0.2,Office Supplies,Binders,West,Washington,Consumer,IM-15070,Irene Maddox,5,2016,12,4
US-2015-118983,2015-11-22,68.81,-123.858,5,0.8,Office Supplies,Appliances,Central,Texas,Home Office,HP-14815,Harold Pawlan,4,2015,11,4
US-2015-118983,2015-11-22,2.544,-3.816,3,0.8,Office Supplies,Binders,Central,Texas,Home Office,HP-14815,Harold Pawlan,4,2015,11,4
CA-2014-105893,2014-11-11,665.88,13.3176,6,0.0,Office Supplies,Storage,Central,Wisconsin,Consumer,PK-19075,Pete Kriz,7,2014,11,4
CA-2014-167164,2014-05-13,55.5,9.99,2,0.0,Office Supplies,Storage,West,Utah,Consumer,AG-10270,Alejandro Grove,2,2014,5,2
CA-2014-143336,2014-08-27,8.56,2.4824,2,0.0,Office Supplies,Art,West,California,Consumer,ZD-21925,Zuschuss Donatelli,5,2014,8,3
CA-2014-143336,2014-08-27,213.48,16.011,3,0.2,Technology,Phones,West,California,Consumer,ZD-21925,Zuschuss Donatelli,5,2014,8,3
CA-2014-143336,2014-08-27,22.72,7.384,4,0.2,Office Supplies,Binders,West,California,Consumer,ZD-21925,Zuschuss Donatelli,5,2014,8,3
CA-2016-137330,2016-12-09,19.46,5.0596,7,0.0,Office Supplies,Art,Central,Nebraska,Corporate,KB-16585,Ken Black,4,2016,12,4
CA-2016-137330,2016-12-09,60.34,15.6884,7,0.0,Office Supplies,Appliances,Central,Nebraska,Corporate,KB-16585,Ken Black,4,2016,12,4
US-2017-156909,2017-07-16,71.372,-1.0196,2,0.3,Furniture,Chairs,East,Pennsylvania,Consumer,SF-20065,Sandra Flanagan,2,2017,7,3
CA-2015-106320,2015-09-25,1044.63,240.2649,3,0.0,Furniture,Tables,West,Utah,Consumer,EB-13870,Emily Burns,5,2015,9,3
CA-2016-121755,2016-01-16,11.648,4.2224,2,0.2,Office Supplies,Binders,West,California,Consumer,EH-13945,Eric Hoffmann,4,2016,1,1
CA-2016-121755,2016-01-16,90.57,11.7741,3,0.0,Technology,Accessories,West,California,Consumer,EH-13945,Eric Hoffmann,4,2016,1,1
US-2015-150630,2015-09-17,3083.43,-1665.0522,7,0.5,Furniture,Bookcases,East,Pennsylvania,Consumer,TB-21520,Tracy Blumstein,4,2015,9,3
US-2015-150630,2015-09-17,9.618,-7.0532,2,0.7,Office Supplies,Binders,East,Pennsylvania,Consumer,TB-21520,Tracy Blumstein,4,2015,9,3
US-2015-150630,2015-09-17,124.2,15.525,3,0.2,Furniture,Furnishings,East,Pennsylvania,Consumer,TB-21520,Tracy Blumstein,4,2015,9,3
US-2015-150630,2015-09-17,3.264,1.1016,2,0.2,Office Supplies,Envelopes,East,Pennsylvania,Consumer,TB-21520,Tracy Blumstein,4,2015,9,3
US-2015-150630,2015-09-17,86.304,9.7092,6,0.2,Office Supplies,Art,East,Pennsylvania,Consumer,TB-21520,Tracy Blumstein,4,2015,9,3
US-2015-150630,2015-09-17,6.858,-5.715,6,0.7,Office Supplies,Binders,East,Pennsylvania,Consumer,TB-21520,Tracy Blumstein,4,2015,9,3
US-2015-150630,2015-09-17,15.76,3.546,2,0.2,Office Supplies,Art,East,Pennsylvania,Consumer,TB-21520,Tracy Blumstein,4,2015,9,3
CA-2017-107727,2017-10-19,29.472,9.9468,3,0.2,Office Supplies,Paper,Central,Texas,Home Office,MA-17560,Matt Abelman,4,2017,10,4
CA-2016-117590,2016-12-08,1097.544,123.4737,7,0.2,Technology,Phones,Central,Texas,Corporate,GH-14485,Gene Hale,2,2016,12,4
CA-2016-117590,2016-12-08,190.92,-147.963,5,0.6,Furniture,Furnishings,Central,Texas,Corporate,GH-14485,Gene Hale,2,2016,12,4
CA-2015-117415,2015-12-27,113.328,35.415,9,0.2,Office Supplies,Envelopes,Central,Texas,Home Office,SN-20710,Steve Nguyen,4,2015,12,4
CA-2015-117415,2015-12-27,532.3992,-46.9764,3,0.32,Furniture,Bookcases,Central,Texas,Home Office,SN-20710,Steve Nguyen,4,2015,12,4
CA-2015-117415,2015-12-27,212.058,-15.147,3,0.3,Furniture,Chairs,Central,Texas,Home Office,SN-20710,Steve Nguyen,4,2015,12,4
CA-2015-117415,2015-12-27,371.168,41.7564,4,0.2,Technology,Phones,Central,Texas,Home Office,SN-20710,Steve Nguyen,4,2015,12,4
CA-2017-120999,2017-09-10,147.168,16.5564,4,0.2,Technology,Phones,Central,Illinois,Corporate,LC-16930,Linda Cazamias,5,2017,9,3
CA-2016-101343,2016-07-17,77.88,3.894,2,0.0,Office Supplies,Storage,West,California,Corporate,RA-19885,Ruben Ausman,5,2016,7,3
CA-2017-139619,2017-09-19,95.616,9.5616,2,0.2,Office Supplies,Storage,South,Florida,Corporate,ES-14080,Erin Smith,4,2017,9,3
CA-2016-118255,2016-03-11,45.98,19.7714,2,0.0,Technology,Accessories,Central,Minnesota,Corporate,ON-18715,Odella Nelson,2,2016,3,1
CA-2016-118255,2016-03-11,17.46,8.2062,2,0.0,Office Supplies,Binders,Central,Minnesota,Corporate,ON-18715,Odella Nelson,2,2016,3,1
CA-2014-146703,2014-10-20,211.96,8.4784,4,0.0,Office Supplies,Storage,Central,Michigan,Consumer,PO-18865,Patrick O'Donnell,5,2014,10,4
CA-2016-169194,2016-06-20,45.0,4.95,3,0.0,Technology,Accessories,East,Delaware,Consumer,LH-16900,Lena Hernandez,5,2016,6,2
CA-2016-169194,2016-06-20,21.8,6.104,2,0.0,Technology,Phones,East,Delaware,Consumer,LH-16900,Lena Hernandez,5,2016,6,2
CA-2015-115742,2015-04-18,38.22,17.9634,6,0.0,Office Supplies,Binders,Central,Indiana,Consumer,DP-13000,Darren Powers,4,2015,4,2
CA-2015-115742,2015-04-18,75.18,35.3346,6,0.0,Office Supplies,Labels,Central,Indiana,Consumer,DP-13000,Darren Powers,4,2015,4,2
CA-2015-115742,2015-04-18,6.16,2.9568,2,0.0,Furniture,Furnishings,Central,Indiana,Consumer,DP-13000,Darren Powers,4,2015,4,2
CA-2015-115742,2015-04-18,89.99,17.0981,1,0.0,Furniture,Chairs,Central,Indiana,Consumer,DP-13000,Darren Powers,4,2015,4,2
CA-2016-105816,2016-12-11,15.26,6.2566,7,0.0,Office Supplies,Fasteners,East,New York,Corporate,JM-15265,Janet Molinari,6,2016,12,4
CA-2016-105816,2016-12-11,1029.95,298.6855,5,0.0,Technology,Phones,East,New York,Corporate,JM-15265,Janet Molinari,6,2016,12,4
CA-2016-111682,2016-06-17,208.56,52.14,6,0.0,Office Supplies,Storage,East,New York,Consumer,TB-21055,Ted Butterfield,1,2016,6,2
CA-2016-111682,2016-06-17,32.4,15.552,5,0.0,Office Supplies,Paper,East,New York,Consumer,TB-21055,Ted Butterfield,1,2016,6,2
